run,minR,repetition,Module,Packets Sent,SF,TotalEnergyConsumed,TP,X,Y
LoRaSim-MinimalTopology-0-20220610-20:35:56-9252,0,0,LoRa.hostSF12[4139],1267,11,0.124551168,5,-3082.765901,179.4358017
LoRaSim-MinimalTopology-0-20220610-20:35:56-9252,0,0,LoRa.hostSF12[4140],1255,11,0.12337152,8,-215.8882602,3101.336704
LoRaSim-MinimalTopology-0-20220610-20:35:56-9252,0,0,LoRa.hostSF12[4141],1313,10,0.070990234,11,-2249.229016,-663.8252958
LoRaSim-MinimalTopology-0-20220610-20:35:56-9252,0,0,LoRa.hostSF12[4142],1152,12,0.207618048,7,1101.236235,3667.411495
LoRaSim-MinimalTopology-0-20220610-20:35:56-9252,0,0,LoRa.hostSF12[4143],1380,7,0.013323703,13,587.2423613,772.016191
LoRaSim-MinimalTopology-0-20220610-20:35:56-9252,0,0,LoRa.hostSF12[4144],1076,12,0.193921024,11,-2736.225342,2916.996856
LoRaSim-MinimalTopology-0-20220610-20:35:56-9252,0,0,LoRa.hostSF12[4145],1252,11,0.123076608,11,-257.9836628,2964.029785
LoRaSim-MinimalTopology-0-20220610-20:35:56-9252,0,0,LoRa.hostSF12[4146],1111,12,0.200228864,12,579.5849958,-3564.702797
LoRaSim-MinimalTopology-0-20220610-20:35:56-9252,0,0,LoRa.hostSF12[4147],1327,10,0.071747174,4,1421.677099,1808.244268
LoRaSim-MinimalTopology-0-20220610-20:35:56-9252,0,0,LoRa.hostSF12[4148],1131,12,0.203833344,2,3523.609575,1207.177472
LoRaSim-MinimalTopology-0-20220610-20:35:56-9252,0,0,LoRa.hostSF12[4149],1258,11,0.123666432,13,-2445.741914,507.3566047
LoRaSim-MinimalTopology-0-20220610-20:35:56-9252,0,0,LoRa.hostSF12[4150],1407,7,0.013584384,12,656.0860934,-28.99221574
LoRaSim-MinimalTopology-0-20220610-20:35:56-9252,0,0,LoRa.hostSF12[4151],1131,12,0.203833344,4,-1757.87998,-3761.358788
LoRaSim-MinimalTopology-0-20220610-20:35:56-9252,0,0,LoRa.hostSF12[4152],1422,8,0.024026112,8,-496.7354986,-976.517945
LoRaSim-MinimalTopology-0-20220610-20:35:56-9252,0,0,LoRa.hostSF12[4153],1395,9,0.04190208,3,-1278.979682,1179.641097
LoRaSim-MinimalTopology-0-20220610-20:35:56-9252,0,0,LoRa.hostSF12[4154],1190,12,0.21446656,13,3217.283205,676.5747919
LoRaSim-MinimalTopology-0-20220610-20:35:56-9252,0,0,LoRa.hostSF12[4155],1503,7,0.01451125,10,886.4326014,140.9087253
LoRaSim-MinimalTopology-0-20220610-20:35:56-9252,0,0,LoRa.hostSF12[4156],1147,12,0.206716928,4,705.7869548,3692.410105
