,run,minR,repetition,Module,Packets Sent,SF,TotalEnergyConsumed,TP,X,Y,Clustering_6
11088,LoRaSim-MinimalTopology-0-20220610-21:57:17-972,0,0,LoRa.hostSF12[11088],1388,10,0.0750452736,12,180.5738817227,1931.9437279101999,0
11089,LoRaSim-MinimalTopology-0-20220610-21:57:17-972,0,0,LoRa.hostSF12[11089],1415,7,0.013661622857142999,10,567.10224559749,140.50731325360002,3
11090,LoRaSim-MinimalTopology-0-20220610-21:57:17-972,0,0,LoRa.hostSF12[11090],1265,11,0.12435456,3,1754.4082018944,2264.5235925341,2
11091,LoRaSim-MinimalTopology-0-20220610-21:57:17-972,0,0,LoRa.hostSF12[11091],1318,10,0.0712605696,7,2003.0339059212,-881.42484396672,5
11092,LoRaSim-MinimalTopology-0-20220610-21:57:17-972,0,0,LoRa.hostSF12[11092],1356,9,0.040730624,13,1499.1749800922,-41.84263211086,0
11093,LoRaSim-MinimalTopology-0-20220610-21:57:17-972,0,0,LoRa.hostSF12[11093],1162,12,0.209420288,12,2030.3105936696,2735.1724629461,4
11094,LoRaSim-MinimalTopology-0-20220610-21:57:17-972,0,0,LoRa.hostSF12[11094],1402,7,0.013536109714286001,12,-730.83457441181,0.6488402575270601,3
11095,LoRaSim-MinimalTopology-0-20220610-21:57:17-972,0,0,LoRa.hostSF12[11095],1088,12,0.196083712,7,1339.8644245903,-3696.9794261472,1
11096,LoRaSim-MinimalTopology-0-20220610-21:57:17-972,0,0,LoRa.hostSF12[11096],1282,11,0.126025728,4,-455.49963199294007,-2793.2414538381,5
11097,LoRaSim-MinimalTopology-0-20220610-21:57:17-972,0,0,LoRa.hostSF12[11097],1184,12,0.21338521600000002,5,990.7475255048801,3757.6439914644,4
11098,LoRaSim-MinimalTopology-0-20220610-21:57:17-972,0,0,LoRa.hostSF12[11098],1233,11,0.12120883199999999,6,-1491.8943004310001,2745.8004834366,2
11099,LoRaSim-MinimalTopology-0-20220610-21:57:17-972,0,0,LoRa.hostSF12[11099],1356,10,0.0733151232,7,-611.40046281812,2062.0505008365,0
11100,LoRaSim-MinimalTopology-0-20220610-21:57:17-972,0,0,LoRa.hostSF12[11100],1411,8,0.023840256,9,1127.0829794014,547.13899410744,3
11101,LoRaSim-MinimalTopology-0-20220610-21:57:17-972,0,0,LoRa.hostSF12[11101],1096,12,0.197525504,8,1047.4867400995,-3277.6074382602,1
11102,LoRaSim-MinimalTopology-0-20220610-21:57:17-972,0,0,LoRa.hostSF12[11102],1125,12,0.202752,10,3835.7266109085,115.88303648566001,1
11103,LoRaSim-MinimalTopology-0-20220610-21:57:17-972,0,0,LoRa.hostSF12[11103],1255,11,0.12337152,2,2290.5223409651003,-1167.6519668871001,2
11104,LoRaSim-MinimalTopology-0-20220610-21:57:17-972,0,0,LoRa.hostSF12[11104],1135,12,0.20455424,7,-2027.9600418726002,-3159.9020481043,4
11105,LoRaSim-MinimalTopology-0-20220610-21:57:17-972,0,0,LoRa.hostSF12[11105],1256,11,0.123469824,14,-2224.1180519981,2210.5344587156,2
11106,LoRaSim-MinimalTopology-0-20220610-21:57:17-972,0,0,LoRa.hostSF12[11106],1370,10,0.074072064,9,-1474.326817372,-1734.5132647651,0
11107,LoRaSim-MinimalTopology-0-20220610-21:57:17-972,0,0,LoRa.hostSF12[11107],1161,12,0.20924006399999998,4,3185.7838298524,605.09834036763,4
11108,LoRaSim-MinimalTopology-0-20220610-21:57:17-972,0,0,LoRa.hostSF12[11108],1210,11,0.11894784,12,-992.6791805441801,-2924.3317241858003,2
11109,LoRaSim-MinimalTopology-0-20220610-21:57:17-972,0,0,LoRa.hostSF12[11109],1398,8,0.023620607999999998,6,-14.115554799778,-1336.3020094252001,3
11110,LoRaSim-MinimalTopology-0-20220610-21:57:17-972,0,0,LoRa.hostSF12[11110],1153,12,0.207798272,13,-455.44834697620996,3583.7114617076,4
11111,LoRaSim-MinimalTopology-0-20220610-21:57:17-972,0,0,LoRa.hostSF12[11111],1259,11,0.123764736,3,586.1277152581,2589.9525448532,2
11112,LoRaSim-MinimalTopology-0-20220610-21:57:17-972,0,0,LoRa.hostSF12[11112],1142,12,0.20581580800000002,12,-2192.2231168809,2704.7742980946,4
11113,LoRaSim-MinimalTopology-0-20220610-21:57:17-972,0,0,LoRa.hostSF12[11113],1386,7,0.013381632,12,-828.91247430148,-596.43630889845,0
11114,LoRaSim-MinimalTopology-0-20220610-21:57:17-972,0,0,LoRa.hostSF12[11114],1356,10,0.0733151232,11,-1800.4638375415,1219.9234411564,0
11115,LoRaSim-MinimalTopology-0-20220610-21:57:17-972,0,0,LoRa.hostSF12[11115],1137,12,0.204914688,6,2813.1574013421996,2819.4166106834004,4
11116,LoRaSim-MinimalTopology-0-20220610-21:57:17-972,0,0,LoRa.hostSF12[11116],1293,11,0.127107072,12,-2900.0127092111998,-690.0560951835699,5
11117,LoRaSim-MinimalTopology-0-20220610-21:57:17-972,0,0,LoRa.hostSF12[11117],1226,11,0.120520704,7,-2230.826256578,-2257.238041127,2
11118,LoRaSim-MinimalTopology-0-20220610-21:57:17-972,0,0,LoRa.hostSF12[11118],1328,11,0.13054771199999998,9,1674.7920985279002,2480.3558285397,5
11119,LoRaSim-MinimalTopology-0-20220610-21:57:17-972,0,0,LoRa.hostSF12[11119],1149,12,0.207077376,10,379.56567982211,3320.1871858423997,4
11120,LoRaSim-MinimalTopology-0-20220610-21:57:17-972,0,0,LoRa.hostSF12[11120],1126,12,0.202932224,13,2167.0145568118,-2500.1819602033997,1
11121,LoRaSim-MinimalTopology-0-20220610-21:57:17-972,0,0,LoRa.hostSF12[11121],1153,12,0.207798272,10,-3010.4310315439,1623.9369886719,4
11122,LoRaSim-MinimalTopology-0-20220610-21:57:17-972,0,0,LoRa.hostSF12[11122],1408,7,0.013594038857143,3,-646.85820394354,-576.15882372765,3
11123,LoRaSim-MinimalTopology-0-20220610-21:57:17-972,0,0,LoRa.hostSF12[11123],1383,9,0.041541632,13,1131.1337712455,-1345.7323113642,0
