run,minR,repetition,Module,Packets Sent,SF,TotalEnergyConsumed,TP,X,Y
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[8393],541,12,0.097501184,13,-3944.5055892447,1318.052156568
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[8394],686,10,0.0370900992,3,797.30059647451,-1680.7869436801
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[8395],592,12,0.106692608,5,-1487.6875551393,-2954.3577572857
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[8396],685,9,0.020575573333333,13,-1431.6200282117,-1018.9205491578
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[8397],695,7,0.0067101257142857,12,-672.36695957329,443.81653415185
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[8398],559,12,0.100745216,2,-2124.4694966107,3561.1741882591
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[8399],545,12,0.09822208,8,2549.0376648106,-2091.9321207511
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[8400],572,12,0.103088128,3,-2224.4568345171,-3176.1382210206
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[8401],702,9,0.021086208,14,-305.71813630471,-1698.7845911656
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[8402],676,10,0.0365494272,2,-1699.1681254613,-670.95539527361
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[8403],641,11,0.063012864,8,2892.9149655931,-671.85805590546
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[8404],640,11,0.06291456,12,2513.0422555074,-1701.0066310291
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[8405],618,11,0.060751872,2,1135.0533822135,2256.696653375
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[8406],650,11,0.0638976,3,16.51311664626,-2478.3118055215
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[8407],540,12,0.09732096,7,2775.573461984,2610.9176345115
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[8408],635,11,0.06242304,7,-1184.1348546658,2904.5438516983
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[8409],597,12,0.107593728,10,3317.6588032659,537.76394905755
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[8410],629,11,0.061833216,8,3112.6247430352,-204.01159487215
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[8411],699,10,0.0377929728,6,1572.0985546826,-1256.5126361612
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[8412],534,12,0.096239616,13,-3304.4946454762,1178.0560022559
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[8413],675,10,0.03649536,11,2295.4151081491,-645.64454465646
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[8414],647,11,0.063602688,2,1078.524693848,-2307.6040730263
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[8415],698,10,0.0377389056,3,-2340.8938537907,-20.739965024984
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[8416],685,8,0.01157376,6,637.16867305397,-1183.0571493717
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[8417],554,12,0.099844096,2,1371.5147857213,3696.0393373809
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[8418],657,7,0.0063432411428571,9,750.61481677497,-7.9312481549289
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[8419],717,9,0.021536768,7,-912.17184444314,1576.8690504477
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[8420],565,12,0.10182656,2,3947.8364575302,649.36262967821
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[8421],629,11,0.061833216,3,428.16331427785,2784.3058662395
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[8422],605,12,0.10903552,5,2613.4053987087,3361.6927146985
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[8423],742,9,0.022287701333333,6,-1386.1398119091,-680.1110172734
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[8424],547,12,0.098582528,5,-4136.1108542415,779.20395318042
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[8425],579,12,0.104349696,4,-3007.1724279924,-2406.5335507262
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[8426],577,12,0.103989248,13,3495.6856999932,-641.31169415369
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[8427],685,9,0.020575573333333,12,1593.1751533125,-687.47912366861
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[8428],558,12,0.100564992,8,164.40869867233,-3277.0386011753
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[8429],547,12,0.098582528,5,2660.4565110678,-2995.8187070579
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[8430],665,10,0.035954688,5,1654.6007539203,795.80242300826
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[8431],581,12,0.104710144,14,-1162.4497930594,2999.4729092627
