run,minR,repetition,Module,Packets Sent,SFF,TotalEnergyConsumed,TP,X,Y
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[9215],656,8,0.035468083,4,73.40546009,-1910.707577
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[9216],570,11,0.10272768,10,3453.219205,-191.0313484
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[9217],579,11,0.104349696,6,-3492.659561,-337.9480208
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[9218],729,8,0.012317184,10,-938.1477256,732.7573516
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[9219],566,11,0.102006784,12,1643.226029,-3484.006179
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[9220],701,8,0.021056171,13,-1819.414514,8.173863206
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[9221],566,11,0.102006784,3,-2013.074516,3558.40052
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[9222],568,11,0.102367232,10,2954.036517,-1874.128058
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[9223],698,9,0.037738906,10,855.4294773,1677.864965
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[9224],573,11,0.103268352,5,3037.059078,1544.08415
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[9225],560,11,0.10092544,5,-3543.169074,-483.8847495
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[9226],677,10,0.066551808,5,340.4449397,2735.062068
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[9227],548,11,0.098762752,12,-2283.604627,2647.289553
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[9228],603,10,0.059277312,10,1941.878273,2421.971901
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[9229],671,8,0.011337216,11,-1306.104706,419.9120697
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[9230],543,11,0.097861632,13,-3942.076515,-1126.898949
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[9231],632,10,0.062128128,14,1261.351073,-2722.059991
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[9232],539,11,0.097140736,13,3640.776475,-1468.662452
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[9233],600,11,0.1081344,4,1062.247258,3997.124587
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[9234],656,10,0.064487424,5,620.5222001,-2667.216224
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[9235],714,7,0.006893568,2,694.3329995,362.7091821
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[9236],580,11,0.10452992,7,-3555.407925,963.7939582
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[9237],669,8,0.036170957,4,-1144.779447,1607.532506
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[9238],557,11,0.100384768,10,1633.277477,-3269.645458
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[9239],726,8,0.012266496,7,-1021.097051,-887.0099932
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[9240],597,10,0.058687488,13,-2909.079982,-1251.826021
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[9241],586,10,0.057606144,5,2528.995207,-817.3234216
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[9242],569,11,0.102547456,11,-2822.175559,-1668.495965
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[9243],556,11,0.100204544,2,-2149.424985,-2766.837385
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[9244],555,11,0.10002432,11,1720.66172,-3027.404883
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[9245],675,10,0.0663552,10,547.0423436,-2403.844597
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[9246],551,11,0.099303424,4,-3541.092193,-1245.326328
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[9247],651,10,0.063995904,2,1667.619825,-1983.486262
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[9248],652,8,0.035251814,2,1587.024103,-1619.561261
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[9249],649,10,0.063799296,10,1468.369634,-2192.371431
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[9250],599,11,0.107954176,9,2898.096202,2411.060913
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[9251],587,11,0.105791488,10,-2529.499095,2211.207395
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[9252],636,8,0.019103744,6,387.3646707,-1624.674414
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[9253],601,10,0.059080704,2,-174.1302262,2579.535579
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[9254],658,10,0.064684032,13,-2923.5011,1222.535053
